cpf_mutuario;numero_contrato;data_assinatura;valor_financiamento;taxa_juros;prazo_carencia
11113770571;112687;28/12/2023;32000.00;45.000;45
11614700267;148166;27/10/2023;56000.00;50.000;17
10120872530;126978;17/09/2023;93314.97;45.000;9
10685744905;178529;10/01/2020;59261.59;45.000;25
12103816602;156841;18/04/2020;86884.50;60.000;37
10308737397;120770;26/03/2021;33381.35;50.000;25
11602543621;173172;24/09/2021;54321.47;50.000;17
10018654750;116118;30/10/2021;20865.53;50.000;22
10514605854;170705;27/07/2020;54940.69;45.000;32
11092154668;171931;08/03/2022;21176.47;50.000;19
10545324734;139669;15/03/2023;55932.37;76.600;31
10816644730;150912;26/03/2023;88943.67;45.000;33
11978465790;156597;14/02/2023;72000.00;45.000;7
10097828246;178774;25/03/2024;87617.65;60.000;24
11759173122;170855;20/12/2021;64697.00;45.000;26
11847184104;129169;21/07/2023;70000.00;50.000;40
11239384066;105161;17/01/2020;69750.00;50.000;16
10372958317;101812;08/01/2024;54248.42;50.000;15
11760331271;170581;16/02/2023;53914.60;45.000;2
11265010998;159064;06/03/2021;62629.00;50.000;0
10386066687;191118;15/06/2023;31000.00;50.000;24
10876840655;128643;16/03/2020;78090.35;50.000;9
11267638884;150949;27/05/2024;67377.00;45.000;21
10607022507;106227;28/05/2021;69503.77;45.000;18
10796462826;173111;29/07/2020;54579.00;50.000;29
10937439423;142130;25/01/2023;99200.00;55.000;7
11984169959;133163;15/09/2021;71448.00;45.000;1
10733114743;144526;02/12/2022;59416.88;50.000;8
10442323043;175612;06/09/2022;23262.42;50.000;45
11195918300;149483;28/12/2021;69850.45;45.000;35
11395873588;155973;16/11/2020;58043.00;45.000;34
11013835630;150584;11/08/2021;74314.00;50.000;39
11436000931;186401;30/04/2021;50964.52;45.000;50
11422236164;193906;25/12/2023;49080.80;45.000;19
10745823011;120298;04/03/2022;57745.21;45.000;29
11715944334;198054;28/11/2021;72000.00;45.000;9
10230177077;163222;25/01/2023;66400.00;45.000;33
10786159418;196090;01/05/2022;37067.46;45.000;0
10750642511;170304;28/01/2022;36360.00;45.000;29
11065049755;171795;27/06/2022;64705.95;50.000;3
11094784606;170637;15/04/2021;93600.00;45.000;5
11670694608;115723;02/03/2022;58823.53;50.000;18
10876148492;185474;24/02/2024;54286.00;45.000;32
11880506718;126332;04/05/2024;87584.00;50.000;40
11259560143;128076;21/11/2021;70588.24;45.000;5
12104229932;111405;22/11/2023;72755.00;45.000;32
12060837925;148284;04/04/2022;42068.00;45.000;13
11350607724;182730;06/12/2022;42500.00;45.000;34
10214461646;127722;20/06/2022;66440.00;45.000;20
11994601369;121258;29/03/2024;45040.00;50.000;7
10176547572;122480;19/03/2024;85600.00;71.600;20
11723487720;171612;02/04/2023;39265.00;50.000;45
10085548260;192374;12/04/2021;83065.81;45.000;5
11920692385;143813;15/10/2023;45040.00;50.000;43
10192421830;112949;02/04/2020;76010.53;50.000;26
12041127815;173349;15/05/2020;62477.00;50.000;26
10636152212;178402;05/08/2023;95634.20;66.600;6
10481153132;107491;13/05/2024;114494.21;55.000;13
10362779206;115851;03/10/2020;83576.56;50.000;27
11887229250;147417;01/08/2022;57751.00;50.000;23
10163768763;140028;17/06/2023;50040.00;45.000;17
10604868321;176626;10/11/2022;66444.56;45.000;6
12029749923;155209;01/07/2021;57379.00;50.000;30
10470297601;138438;08/05/2020;97643.06;55.000;41
11596897232;152176;16/09/2020;89107.47;55.000;31
11605780909;149999;17/02/2022;108056.08;66.600;35
11615738965;122122;09/06/2022;31800.00;45.000;33
11344961327;153210;05/05/2021;55284.10;45.000;20
