cpf_mutuario;uf;municipio;endereco;cep
11113770571;PI;PICOS;TR TRAV PLANALTO 6;65971277
11614700267;RN;PARNAMIRIM;"TR TRAVESSA PLANALTO; 6";77323631
10120872530;SP;SAO BERNARDO DO CAMPO;"R TRAVESSA PALMAS; 0";14420813
10685744905;SP;FERRAZ DE VASCONCELOS;TR CASA 8;13270284
12103816602;RJ;RIO DE JANEIRO;"TR TRAVESSA PLANALTO; 0";78825164
10308737397;PR;CURITIBA;R RUA 6;82388871
11602543621;PA;ANANINDEUA;"TR PALMAS; 0";24095486
10018654750;MG;ALFENAS;"TR TRAVESSA PLANALTO ; 6";51470993
10514605854;MG;PATOS DE MINAS;"TR TRAVESSA PLANALTO; 0";69333170
11092154668;RN;CEARA-MIRIM;TR TRAVESSA PLANALTO 6;30877034
10545324734;SP;CAMPINAS;R RUA 3;60496865
10816644730;MG;PEDRO LEOPOLDO;R RUA 3;64756429
11978465790;SP;ARACATUBA;"TR TRAVESSA PLANALTO; 0";24413728
10097828246;RS;CANOAS;R RUA SANDRO FIALLA 4;15927339
11759173122;SP;ARACATUBA;R RUA 1;50561833
11847184104;PR;FAZENDA RIO GRANDE;R RUA 1;58039971
11239384066;MG;MANTENA;"TR RUA PALOTINA; 0";30578100
10372958317;SP;SOROCABA;"TR TRAVESSA PLANALTO; 6";69375548
11760331271;RS;ERECHIM;"TR TRAVESSA PLANALTO; 6";30900577
11265010998;AL;ARAPIRACA;"R AVENIDA SAO PAULO; 0";70315356
10386066687;GO;GOIAS;TR TRAV PLANALTO  6;86320557
10876840655;GO;GOIANIA;"TR TRAVESSA PLANALTO; 0";39976074
11267638884;SP;ARARAS;MUN RUA LEUCENA N 7;59188361
10607022507;RS;SAO LEOPOLDO;"TR TRAVESSA PLANALTO; 6";86517020
10796462826;SE;TOBIAS BARRETO;"R RUA MARANHAO; 0";73165724
10937439423;SC;CHAPECO;"TR TRAVESSA PLANALTO; 0";59466648
11984169959;GO;APARECIDA DE GOIANIA;"R RUA SALOMAO MIGUEL NASSER; 0";62306362
10733114743;SC;JAGUARUNA;TR RUA PALMAS 1;86073178
10442323043;PI;PARNAIBA;"TR TRAVESSA PLANALTO; 0";95833731
11195918300;RS;ERECHIM;"TR TRAVESSA PLANALTO; 0";16815185
11395873588;MG;BANDEIRA DO SUL;R RUA 6;16373981
11013835630;MT;SINOP;R RUA 6;58748261
11436000931;PR;CHOPINZINHO;R RUA 6;82451391
11422236164;PR;PATO BRANCO;"TR RUA PALMAS; 0";66290485
10745823011;MG;BURITIS;TR RUA 5;31382550
11715944334;PR;PARAISO DO NORTE;R RUA 5;48976078
10230177077;MG;ABAETE;TR TRAVESSA PLANALTO 6;53030438
10786159418;SP;SAO JOSE DO RIO PRETO;TR TRAVESSA PALOTINA  CASA 1;77628778
10750642511;MT;CUIABA;TR TRAVESSA PLANALTO 6;21546838
11065049755;PA;ANANINDEUA;R RUA 5;33646182
11094784606;RJ;RIO DE JANEIRO;"TR RUA PALMAS; 0";66768893
11670694608;RS;ERECHIM;TR TRAVESSA PLANALTO 6;63249583
10876148492;MT;BARRA DO GARCAS;"TR TRAVESSA PALMAS; 0";54314269
11880506718;RJ;CAMPOS DOS GOYTACAZES;"TR RUA PALMAS; 1";70227793
11259560143;SP;GARCA;"R RUA MARANHAO; 0";79442864
12104229932;PR;ROLANDIA;"R RUA MARANHAO; 0";20728843
12060837925;PR;GUARACI;"R RUA MINAS GERAIS; 0";55714995
11350607724;PR;PEABIRU;R R SANDRO FIALLA 4;64559068
10214461646;MG;PASSOS;TR TRAVESSA PLANALTO 6;14137001
11994601369;AL;MARECHAL DEODORO;"TR TRAVESSA PLANALTO; 0";83413906
10176547572;PE;PAULISTA;"R ARI NAZARE NEVES DA SILVA; 0";65056094
11723487720;PE;BELO JARDIM;"TR TRAVESSA PLANALTO;6";57076276
10085548260;SP;SUMARE;"TR RUA PALMAS; 0";71314909
11920692385;AL;MARECHAL DEODORO;R RUA 0;43302837
10192421830;GO;GOIANIA;R 1;31364195
12041127815;SE;ARACAJU;R RUA 1;50815932
10636152212;SP;JUNDIAI;R RUA 1;36347743
10481153132;PR;CASCAVEL;"R RUA PARAIBA; 4";76233250
10362779206;MG;UBERABA;"R R PARAIBA; 0";20145761
11887229250;SE;TOBIAS BARRETO;"R R PARAIBA; 0";58541024
10163768763;PA;ANANINDEUA;"R R PARAIBA; 0";40229985
10604868321;RS;BENTO GONCALVES;"R RUA BARCELONA COND RES. MAIORCA XXII; 0";63422523
12029749923;SE;TOBIAS BARRETO;"R RUA BARCELONA; 0";10723366
10470297601;RJ;RIO DE JANEIRO;"R RUA PARAIBA; 0";86048479
11596897232;SP;OURINHOS;R RUA VALENCIA N 1;60854039
11605780909;DF;BRASILIA;R RUA MAIORCA N 1;31968187
11615738965;MG;PATOS DE MINAS;"R RUA PARAIBA; 0";44763668
11344961327;PR;SERTANOPOLIS;"R RUA PARAIBA; 4";70023443
10379597313;PE;GLORIA DO GOITA;"R RUA RIO SOLIMOES; 0";72298552
11651986688;MT;CUIABA;"R RUA RIO SOLIMOES; 0";75950035
10606946049;PE;PAULISTA;R RUA 1;80980858
