nome_mutuario;cpf;numero_identidade;data_nascimento;estado_civil;sexo
ANA ;11113770571;9657955;08/07/1978;solteiro;M
LUCIMARA ;11614700267;2193926;25/10/1991;divorciado;M
ANDERSON ;10120872530;4724135;17/01/1978;solteiro;M
JOSE ;10685744905;4304575;24/09/1996;casado;M
DANILLO ;12103816602;9564145;02/05/1957;casado;M
SILVIO ;10308737397;4370622;28/05/1989;divorciado;M
ROSENILVA ;11602543621;4191872;11/06/1975;solteiro;F
DJANIRO ;10018654750;3062640;26/10/1980;casado;F
MARILIA ;10514605854;7097435;22/03/1954;solteiro;F
EDLAMAR ;11092154668;7021169;23/02/1966;solteiro;M
PAULO ;10545324734;1438189;05/02/1971;solteiro;M
LILIAN ;10816644730;4347432;05/02/1988;vi£vo;M
CAIO ;11978465790;8081479;17/09/1992;solteiro;M
KECIA ;10097828246;9594277;06/08/1975;solteiro;F
ELIANA ;11759173122;2665550;27/10/1979;solteiro;F
CLISCIENE ;11847184104;3232697;17/02/1973;solteiro;M
RAYANA ;11239384066;7441595;07/02/1968;solteiro;F
YURI ;10372958317;4294736;27/12/1998;solteiro;F
JOSE ;11760331271;3230861;24/09/1993;solteiro;M
HUGO ;11265010998;2611278;21/09/1986;solteiro;M
ERBERT ;10386066687;2605654;23/11/1982;solteiro;M
IGOR ;10876840655;3842725;30/10/1988;solteiro;F
PEDRO ;11267638884;9405507;29/06/1958;divorciado;M
VIVIANNE ;10607022507;1621505;11/09/1989;solteiro;F
ALANNA ;10796462826;4204243;18/07/1992;casado;M
ISLEIDE ;10937439423;7927014;26/02/1991;solteiro;F
GLAUCIA ;11984169959;3428559;28/03/1983;solteiro;F
ANA ;10733114743;1154494;10/04/1997;solteiro;M
ANDREA ;10442323043;6194349;18/10/1952;casado;M
LEILA ;11195918300;2562136;15/08/1969;divorciado;M
ROGERS ;11395873588;9918739;05/04/1957;divorciado;M
DELANO ;11013835630;6723978;25/01/1974;divorciado;F
SIDIMAR ;11436000931;2920657;18/02/1957;solteiro;M
GENILTON ;11422236164;4950927;06/10/1983;solteiro;F
ALLINE ;10745823011;5512751;13/04/1973;solteiro;F
DEIZILANY ;11715944334;9431411;10/10/1963;solteiro;M
GLAUCIA ;10230177077;8671732;16/04/1991;solteiro;F
ROSIVALDO ;10786159418;6620555;13/10/1952;casado;M
GILZA ;10750642511;5569505;24/06/1961;solteiro;F
EZIO ;11065049755;9039466;08/06/1983;casado;M
FABIANA ;11094784606;7799345;01/10/1981;solteiro;F
MARIA ;11670694608;8982408;13/01/1960;solteiro;F
LUZIA ;10876148492;1234985;28/08/1983;divorciado;F
FERNANDA ;11880506718;7193268;11/07/1981;solteiro;M
RINALDO ;11259560143;1623336;30/05/1995;solteiro;M
ANA ;12104229932;1323891;28/09/1980;solteiro;M
HELIO ;12060837925;9587300;15/10/1968;solteiro;M
ANNE ;11350607724;6181253;13/02/1979;solteiro;M
KATE ;10214461646;2402409;13/10/1965;solteiro;F
SHEILA ;11994601369;3539812;13/12/1988;casado;F
ELAINE ;10176547572;4093453;14/04/1975;solteiro;M
FABRICIA ;11723487720;8475717;05/12/1968;casado;M
LUCIANA ;10085548260;2075803;23/11/1984;solteiro;F
MARIANGELA ;11920692385;5057173;05/12/1978;solteiro;F
JACQUELINE ;10192421830;7237616;28/04/1980;solteiro;M
MICHELLE ;12041127815;1938984;02/09/1986;solteiro;F
LEILIANE ;10636152212;7196347;02/06/1994;solteiro;M
LUIS ;10481153132;6601285;03/04/1983;solteiro;M
ROGERIO ;10362779206;5120920;06/10/1987;solteiro;F
CLEVERTON ;11887229250;5181343;29/10/1981;divorciado;M
IARA ;10163768763;8341235;30/06/1984;solteiro;M
KAREN ;10604868321;1961307;05/04/1961;divorciado;M
TARICK ;12029749923;2836836;08/12/1968;casado;M
ERIKA ;10470297601;4601317;22/07/1993;divorciado;M
HARIANDERSON ;11596897232;1964065;14/09/1984;solteiro;F
DEBORA ;11605780909;1576578;21/04/1961;solteiro;M
DOMINGOS ;11615738965;9267601;21/05/1978;solteiro;F
JUSSARA ;11344961327;4739763;24/09/1959;solteiro;M
KATIA ;10379597313;9209313;05/04/2000;divorciado;M
MARIA ;11651986688;3209002;16/08/1965;divorciado;M
JOANA ;10606946049;3253929;10/05/1954;solteiro;M
SANDRA ;11410467485;2074379;25/12/1960;solteiro;M
GILDA ;11071714378;4871575;19/05/1950;solteiro;M
MARCIO ;10802566646;1612039;28/12/1981;solteiro;M
WALDISON ;10601657249;9764838;02/08/1982;divorciado;F
ANTONIO ;10012204173;1978947;29/01/1974;solteiro;F
SILVINA ;10350085359;1455128;09/11/1964;solteiro;M
FILIPPE ;11604355785;1380870;06/11/1982;solteiro;F
DANIELLE ;11868980931;8371709;14/09/1961;solteiro;M
LINDALICE ;10147540659;8224608;24/12/1962;solteiro;F
CLEOMIR ;10604170601;6228125;25/05/1971;divorciado;M
LUIZ ;10407701792;5684857;05/06/1988;solteiro;F
GICELI ;12045145044;3579173;11/03/1982;solteiro;M
ROSENILDE ;10845908165;9657067;04/09/1966;solteiro;M
MARIA ;10692241267;7913663;06/04/1992;solteiro;M
RAFAEL ;10375968670;6553811;13/10/1966;casado;M
JOSE ;11833200382;1368585;25/11/1988;casado;M
ADEVANYSON ;10867952088;7527714;20/06/1972;divorciado;M
PRISCILAINE ;12090325514;7070078;05/11/1969;solteiro;F
JULIANNA ;11129643163;2288963;01/10/1986;solteiro;M
CECILIA ;11280801490;5384534;02/06/1963;divorciado;M
FABRICIO ;11837469595;5158416;18/02/1960;divorciado;F
JOSE ;10608786610;6233965;23/11/1978;solteiro;M
OLDA ;10863220543;5924722;03/09/1958;divorciado;M
PATRICIA ;10874722469;1749708;18/03/1951;solteiro;M
MARCUS ;11091907414;8873414;30/09/1959;divorciado;M
ANDRE ;11717744007;6214681;14/10/1992;divorciado;M
EROTILDES ;10479498058;6685856;15/10/1950;divorciado;F
ALINE ;11515702400;9817303;04/08/1955;solteiro;F
MARCIO ;11254218204;1669967;03/04/1984;divorciado;M
NADIA ;12000299782;7089108;09/12/1983;divorciado;F
KARINA ;10577705232;6503624;06/07/1956;divorciado;F
JORGE ;11798413258;4333856;15/02/1950;divorciado;M
HAYDE ;11688317947;1565140;18/07/1961;divorciado;F
MARIA ;11525865982;3992368;08/07/1971;solteiro;M
GIVANILSON ;10961002255;5876136;10/08/1993;solteiro;M
ADRIANA ;10560936927;8263165;23/03/1961;divorciado;F
JAILSON ;10848342391;8852690;09/04/1966;divorciado;F
WALDEREZ ;12141241254;7731973;03/04/1999;divorciado;M
DAVIR ;10804226295;1409619;30/11/1985;divorciado;M
NAYANE ;10309850189;7733629;29/06/1996;divorciado;M
FELIPE ;10965230431;2273571;09/06/1991;casado;F
VANIA ;10224904716;9347123;24/06/1971;divorciado;M
THAIS ;11639506048;8207955;26/10/1989;casado;M
IONE ;10498717395;2686098;20/11/1981;divorciado;M
JANDERSON ;11312653922;5650103;27/04/1995;solteiro;M
GEORGE ;10789357496;1759349;21/08/1957;divorciado;M
CLOVIS ;10925499018;6296313;28/10/1972;solteiro;F
SOLANGE ;11260891294;2824001;11/01/1997;divorciado;M
RAFAEL ;11329183127;9464070;18/02/1971;solteiro;M
MARIA ;11585748013;2235877;29/09/1988;divorciado;M
MARCOS ;11014153941;3875100;05/09/1986;solteiro;M
JOANDERSON ;11400073926;1425937;30/09/1996;divorciado;F
JACIELE ;10126513964;2538345;16/10/1973;divorciado;M
LAURA ;10896582833;1266334;17/04/1985;divorciado;F
MAYANA ;11762133999;7922731;10/01/1977;solteiro;M
JENIFFER ;10506804898;1980034;18/06/1976;divorciado;M
ELINEIDE ;10751585309;2580493;17/10/1957;solteiro;M
RAFAEL ;11339781092;6139246;23/08/1962;divorciado;F
LUCIANO ;11730579310;8423630;22/06/1994;solteiro;M
VAGNER ;11060660681;6860333;20/05/1965;divorciado;M
CREYSEANNE ;10758959089;7957290;31/10/1953;solteiro;M
ALISSON ;10003195973;4974681;13/02/1976;divorciado;F
DANIELA ;11571370694;2806855;24/08/1958;divorciado;M
LUCIJANE ;10235372296;8019348;13/01/1967;divorciado;M
SUELY ;11602605830;3197791;02/07/1982;divorciado;M
NADGIANE ;10923905561;6799989;26/09/1950;divorciado;M
JOSEFA ;11733713135;4069092;26/08/1950;solteiro;M
MARCOS ;11928615823;3648829;24/04/1994;solteiro;F
CASSIANO ;10894911824;2272992;02/11/1995;divorciado;F
VANESSA ;11061216341;7504319;21/10/1968;divorciado;F
GRAZIELLE ;11440777043;1561342;02/09/1957;divorciado;F
LUCAS ;10545375180;5258878;31/05/1985;solteiro;M
IDALIA ;10051039697;2337984;27/08/1977;solteiro;M
ANDERSON ;10521795743;2555280;05/02/1963;solteiro;F
MOISES ;11815123600;3343507;15/03/1997;solteiro;M
BARBARA ;11639768358;9583096;23/04/1986;solteiro;F
